Ticker,Company Name,Wikipedia Page,Website,Careers Page,Job Search Link
MMM,3M,https://en.wikipedia.org/wiki/3M,http://www.3m.com,http://www.3m.com/careers,https://3m.wd1.myworkdayjobs.com/en-US/Search
AOS,A. O. Smith,https://en.wikipedia.org/wiki/A._O._Smith,https://www.aosmith.com/,https://www.aosmith.com/careers,https://jobs.aosmith.com/
ABT,Abbott Laboratories,https://en.wikipedia.org/wiki/Abbott_Laboratories,http://www.abbott.com,http://www.abbott.com/careers,http://www.abbott.com/careers/search-jobs.html
ABBV,AbbVie,https://en.wikipedia.org/wiki/AbbVie,http://www.abbvie.com,Not Found,Not Found
ACN,Accenture,https://en.wikipedia.org/wiki/Accenture,https://www.accenture.com,https://www.accenture.com/careers,https://www.accenture.com/us-en/careers/jobsearch
ADBE,Adobe Inc.,https://en.wikipedia.org/wiki/Adobe_Inc.,https://www.adobe.com/,Not Found,Not Found
AMD,Advanced Micro Devices,https://en.wikipedia.org/wiki/AMD,https://www.amd.com/,https://www.amd.com/careers,https://www.amd.com/jobs?categories=Engineering&page=1
AES,AES Corporation,https://en.wikipedia.org/wiki/AES_Corporation,http://www.aes.com,http://www.aes.com/careers,http://www.aes.com/careers/search-jobs
AFL,Aflac,https://en.wikipedia.org/wiki/Aflac,http://www.aflac.com,http://www.aflac.com/careers,http://www.aflac.com/go/View-All-Jobs/8697400/
A,Agilent Technologies,https://en.wikipedia.org/wiki/Agilent_Technologies,http://www.agilent.com,Not Found,Not Found
APD,Air Products,https://en.wikipedia.org/wiki/Air_Products,http://www.airproducts.com,http://www.airproducts.com/careers,https://airproducts.wd5.myworkdayjobs.com/en-US/AP0001
ABNB,Airbnb,https://en.wikipedia.org/wiki/Airbnb,https://www.airbnb.com/,https://www.airbnb.com/careers,Not Found
AKAM,Akamai Technologies,https://en.wikipedia.org/wiki/Akamai_Technologies,http://www.akamai.com,Not Found,Not Found
ALB,Albemarle Corporation,https://en.wikipedia.org/wiki/Albemarle_Corporation,http://www.albemarle.com,http://www.albemarle.com/careers,https://albemarle.wd5.myworkdayjobs.com/External
ARE,Alexandria Real Estate Equities,https://en.wikipedia.org/wiki/Alexandria_Real_Estate_Equities,https://www.are.com/,Not Found,Not Found
ALGN,Align Technology,https://en.wikipedia.org/wiki/Align_Technology,https://www.aligntech.com,https://www.aligntech.com/careers,https://www.aligntech.com/search-job
ALLE,Allegion,https://en.wikipedia.org/wiki/Allegion,http://www.allegion.com,http://www.allegion.com/careers,https://allegion.wd5.myworkdayjobs.com/careers/jobs
LNT,Alliant Energy,https://en.wikipedia.org/wiki/Alliant_Energy,http://www.alliantenergy.com,http://www.alliantenergy.com/careers,https://alliantenergy.wd1.myworkdayjobs.com/alliant
ALL,Allstate,https://en.wikipedia.org/wiki/Allstate,https://www.allstate.com/,https://www.allstate.com/careers,https://www.allstate.jobs/job-search-results/
GOOGL,Alphabet Inc. (Class A),https://en.wikipedia.org/wiki/Alphabet_Inc.,https://www.abc.xyz/,Not Found,Not Found
GOOG,Alphabet Inc. (Class C),https://en.wikipedia.org/wiki/Alphabet_Inc.,https://www.abc.xyz/,Not Found,Not Found
MO,Altria,https://en.wikipedia.org/wiki/Altria,https://www.altria.com/,Not Found,Not Found
AMZN,Amazon,https://en.wikipedia.org/wiki/Amazon_(company),https://www.amazon.com/,https://www.amazon.com/careers,https://www.amazon.com/en/job_categories
AMCR,Amcor,https://en.wikipedia.org/wiki/Amcor,http://www.amcor.com,http://www.amcor.com/careers,Not Found
AEE,Ameren,https://en.wikipedia.org/wiki/Ameren,http://www.ameren.com,http://www.ameren.com/careers,https://ameren.wd1.myworkdayjobs.com/External?_gl=1*149fei5*_ga*MTc2MTY4NDE2My4xNjMxNTcwMTgx*_ga_8C6F435CY5*MTY1NzczMjY3MC43NDcuMS4xNjU3NzM1MzczLjA.
AEP,American Electric Power,https://en.wikipedia.org/wiki/American_Electric_Power,https://www.aep.com,https://www.aep.com/careers,https://aep.wd1.myworkdayjobs.com/en-US/AEPCareerSite/introduceYourself
AXP,American Express,https://en.wikipedia.org/wiki/American_Express,https://www.americanexpress.com/,https://www.americanexpress.com/careers,https://aexp.eightfold.ai/careers?hl=en&intlink=us-amex-career-en-us-navigation-jobs
AIG,American International Group,https://en.wikipedia.org/wiki/American_International_Group,https://www.aig.com/,https://www.aig.com/careers,https://aig.wd1.myworkdayjobs.com/aig
AMT,American Tower,https://en.wikipedia.org/wiki/American_Tower,http://www.americantower.com,Not Found,Not Found
AWK,American Water Works,https://en.wikipedia.org/wiki/American_Water_Works,http://www.amwater.com/,http://www.amwater.com/careers,https://jobs.amwater.com
AMP,Ameriprise Financial,https://en.wikipedia.org/wiki/Ameriprise_Financial,https://www.ameriprise.com,https://www.ameriprise.com/careers,https://www.ameriprise.com/careers/india-jobs
AME,Ametek,https://en.wikipedia.org/wiki/Ametek,http://www.ametek.com,Not Found,Not Found
AMGN,Amgen,https://en.wikipedia.org/wiki/Amgen,https://www.amgen.com/,https://www.amgen.com/careers,https://amgen.wd1.myworkdayjobs.com/en-US/Careers/login
APH,Amphenol,https://en.wikipedia.org/wiki/Amphenol,https://www.amphenol.com/,Not Found,Not Found
ADI,Analog Devices,https://en.wikipedia.org/wiki/Analog_Devices,https://www.analog.com/,https://www.analog.com/careers,https://analogdevices.wd1.myworkdayjobs.com/External
ANSS,Ansys,https://en.wikipedia.org/wiki/Ansys,https://www.ansys.com,Not Found,Not Found
AON,Aon plc,https://en.wikipedia.org/wiki/Aon_(company),https://www.aon.com/,https://www.aon.com/careers,https://www.aon.com/jobs
APA,APA Corporation,https://en.wikipedia.org/wiki/APA_Corporation,https://www.apacorp.com,https://www.apacorp.com/careers,Not Found
APO,Apollo Global Management,https://en.wikipedia.org/wiki/Apollo_Global_Management,http://www.apollo.com,http://www.apollo.com/careers,Not Found
AAPL,Apple Inc.,https://en.wikipedia.org/wiki/Apple_Inc.,https://www.apple.com/,https://www.apple.com/careers,https://jobs.apple.com/app/en-us/profile/info
AMAT,Applied Materials,https://en.wikipedia.org/wiki/Applied_Materials,https://www.appliedmaterials.com/,Not Found,Not Found
APTV,Aptiv,https://en.wikipedia.org/wiki/Aptiv,http://www.aptiv.com,http://www.aptiv.com/careers,http://www.aptiv.com/en/jobs
ACGL,Arch Capital Group,https://en.wikipedia.org/wiki/Arch_Capital_Group,http://www.archgroup.com,http://www.archgroup.com/careers,https://www.archgroup.com/attention-job-seekers/
ADM,Archer Daniels Midland,https://en.wikipedia.org/wiki/Archer_Daniels_Midland,http://www.adm.com,http://www.adm.com/careers,https://sjobs.brassring.com/TGnewUI/Search/Home/Home?partnerid=25416&siteid=5998#home
ANET,Arista Networks,https://en.wikipedia.org/wiki/Arista_Networks,https://www.arista.com/,https://www.arista.com/careers,Not Found
AJG,Arthur J. Gallagher & Co.,https://en.wikipedia.org/wiki/Arthur_J._Gallagher_%26_Co.,http://www.ajg.com,Not Found,Not Found
AIZ,Assurant,https://en.wikipedia.org/wiki/Assurant,http://www.assurant.com,Not Found,Not Found
T,AT&T,https://en.wikipedia.org/wiki/AT%26T,https://www.att.com/,https://www.att.com/jobs,https://att.wd1.myworkdayjobs.com/en-US/ATTGeneral/login
ATO,Atmos Energy,https://en.wikipedia.org/wiki/Atmos_Energy,http://www.atmosenergy.com,http://www.atmosenergy.com/careers,Not Found
ADSK,Autodesk,https://en.wikipedia.org/wiki/Autodesk,https://www.autodesk.com/,Not Found,Not Found
ADP,Automatic Data Processing,https://en.wikipedia.org/wiki/ADP_(company),https://www.adp.com/,Not Found,Not Found
AZO,AutoZone,https://en.wikipedia.org/wiki/AutoZone,http://www.autozone.com,http://www.autozone.com/careers,http://www.autozone.com/jobs
AVB,AvalonBay Communities,https://en.wikipedia.org/wiki/AvalonBay_Communities,https://www.avaloncommunities.com,Not Found,Not Found
AVY,Avery Dennison,https://en.wikipedia.org/wiki/Avery_Dennison,https://www.averydennison.com,https://www.averydennison.com/careers,https://www.averydennison.com/en/home/careers/search-jobs.html
AXON,Axon Enterprise,https://en.wikipedia.org/wiki/Axon_Enterprise,http://www.axon.com,Not Found,Not Found
BKR,Baker Hughes,https://en.wikipedia.org/wiki/Baker_Hughes,http://www.bakerhughes.com,Not Found,Not Found
BALL,Ball Corporation,https://en.wikipedia.org/wiki/Ball_Corporation,https://www.ball.com,Not Found,Not Found
BAC,Bank of America,https://en.wikipedia.org/wiki/Bank_of_America,https://www.bankofamerica.com/,https://www.bankofamerica.com/careers,https://www.bankofamerica.com/en-us/students/job-search
BAX,Baxter International,https://en.wikipedia.org/wiki/Baxter_International,http://www.baxter.com,http://www.baxter.com/careers,https://jobs.baxter.com/
BDX,Becton Dickinson,https://en.wikipedia.org/wiki/BD_(company),http://www.bd.com,http://www.bd.com/careers,https://jobs.bdhealthcare.cn/
BRK.B,Berkshire Hathaway,https://en.wikipedia.org/wiki/Berkshire_Hathaway,http://www.berkshirehathaway.com,Not Found,Not Found
BBY,Best Buy,https://en.wikipedia.org/wiki/Best_Buy,http://www.bestbuy.com,Not Found,Not Found
TECH,Bio-Techne,https://en.wikipedia.org/wiki/Bio-Techne,http://www.bio-techne.com,Not Found,Not Found
BIIB,Biogen,https://en.wikipedia.org/wiki/Biogen,https://www.biogen.com,https://www.biogen.com/careers,https://biibhr.wd3.myworkdayjobs.com/external
BLK,BlackRock,https://en.wikipedia.org/wiki/BlackRock,http://www.blackrock.com,http://www.blackrock.com/careers,http://www.blackrock.com/saved-jobs
BX,Blackstone Inc.,https://en.wikipedia.org/wiki/Blackstone_Inc.,http://www.blackstone.com,http://www.blackstone.com/careers,https://blackstone.wd1.myworkdayjobs.com/en-US/Blackstone_Careers
BK,BNY Mellon,https://en.wikipedia.org/wiki/BNY,https://www.bny.com/,https://www.bny.com/careers,https://consumer.ftc.gov/articles/0243-job-scams
BA,Boeing,https://en.wikipedia.org/wiki/Boeing,https://www.boeing.com,https://www.boeing.com/careers,https://www.boeing.com/saved-jobs
BKNG,Booking Holdings,https://en.wikipedia.org/wiki/Booking_Holdings,http://www.bookingholdings.com,http://www.bookingholdings.com/careers,https://www.linkedin.com/company/bookingholdings/jobs/
BSX,Boston Scientific,https://en.wikipedia.org/wiki/Boston_Scientific,http://www.bostonscientific.com,http://www.bostonscientific.com/careers,Not Found
BMY,Bristol Myers Squibb,https://en.wikipedia.org/wiki/Bristol_Myers_Squibb,https://www.bms.com,https://www.bms.com/careers,https://jobs.bms.com/careers/join
AVGO,Broadcom,https://en.wikipedia.org/wiki/Broadcom,https://www.broadcom.com/,https://www.broadcom.com/careers,Not Found
BR,Broadridge Financial Solutions,https://en.wikipedia.org/wiki/Broadridge_Financial_Solutions,http://www.broadridge.com,http://www.broadridge.com/careers,Not Found
BRO,Brown & Brown,https://en.wikipedia.org/wiki/Brown_%26_Brown,http://www.bbrown.com,http://www.bbrown.com/careers,https://bbinsurance.wd1.myworkdayjobs.com/en-US/Careers
BF.B,Brown–Forman,https://en.wikipedia.org/wiki/Brown%E2%80%93Forman,https://www.brown-forman.com/,Not Found,Not Found
BLDR,Builders FirstSource,https://en.wikipedia.org/wiki/Builders_FirstSource,https://www.bldr.com/,https://www.bldr.com/careers,https://www.bldr.com/jobs
BG,Bunge Global,https://en.wikipedia.org/wiki/Bunge_Global,http://www.bunge.com,Not Found,Not Found
BXP,"BXP, Inc.","https://en.wikipedia.org/wiki/BXP,_Inc.",http://www.bxp.com,Not Found,Not Found
CHRW,C.H. Robinson,https://en.wikipedia.org/wiki/C.H._Robinson,https://www.chrobinson.com,https://www.chrobinson.com/careers,"https://www.chrobinson.com/en-us/about-us/careers/search/#f-careers_job_region=China,Hong%20Kong,India,Indonesia,Korea%20Republic%20of,Malaysia,Philippines,Singapore,Sri%20Lanka,Taiwan,Thailand,United%20Arab%20Emirates,Vietnam"
CDNS,Cadence Design Systems,https://en.wikipedia.org/wiki/Cadence_Design_Systems,https://www.cadence.com/,Not Found,Not Found
CZR,Caesars Entertainment,https://en.wikipedia.org/wiki/Caesars_Entertainment,http://www.caesars.com,Not Found,Not Found
CPT,Camden Property Trust,https://en.wikipedia.org/wiki/Camden_Property_Trust,http://www.camdenliving.com,http://www.camdenliving.com/about/careers,Not Found
CPB,Campbell's Company (The),https://en.wikipedia.org/wiki/Campbell%27s,http://www.campbells.com,Not Found,Not Found
COF,Capital One,https://en.wikipedia.org/wiki/Capital_One,http://www.capitalone.com,Not Found,Not Found
CAH,Cardinal Health,https://en.wikipedia.org/wiki/Cardinal_Health,http://www.cardinalhealth.com,Not Found,Not Found
KMX,CarMax,https://en.wikipedia.org/wiki/CarMax,http://www.carmax.com,Not Found,Not Found
CCL,Carnival,https://en.wikipedia.org/wiki/Carnival_Corporation_%26_plc,https://www.carnivalcorp.com,https://www.carnivalcorp.com/careers,https://jobs.carnivalcorp.com/search-jobs
CARR,Carrier Global,https://en.wikipedia.org/wiki/Carrier_Global,https://www.corporate.carrier.com/,https://www.corporate.carrier.com/careers,https://jobs.carrier.com/
CAT,Caterpillar Inc.,https://en.wikipedia.org/wiki/Caterpillar_Inc.,https://www.caterpillar.com/,https://www.caterpillar.com/careers,https://cat.wd5.myworkdayjobs.com/CaterpillarCareers/login
CBOE,Cboe Global Markets,https://en.wikipedia.org/wiki/Cboe_Global_Markets,http://www.cboe.com,http://www.cboe.com/careers,Not Found
CBRE,CBRE Group,https://en.wikipedia.org/wiki/CBRE_Group,https://www.cbre.com,Not Found,Not Found
CDW,CDW Corporation,https://en.wikipedia.org/wiki/CDW,http://www.cdw.com,Not Found,Not Found
COR,Cencora,https://en.wikipedia.org/wiki/Cencora,https://www.cencora.com/,Not Found,Not Found
CNC,Centene Corporation,https://en.wikipedia.org/wiki/Centene_Corporation,https://www.centene.com/,Not Found,Not Found
CNP,CenterPoint Energy,https://en.wikipedia.org/wiki/CenterPoint_Energy,https://www.centerpointenergy.com,https://www.centerpointenergy.com/careers,https://www.centerpointenergy.com/go/Featured-Jobs/9511400/
CF,CF Industries,https://en.wikipedia.org/wiki/CF_Industries,https://www.cfindustries.com/,Not Found,Not Found
CRL,Charles River Laboratories,https://en.wikipedia.org/wiki/Charles_River_Laboratories,http://www.criver.com,Not Found,Not Found
SCHW,Charles Schwab Corporation,https://en.wikipedia.org/wiki/Charles_Schwab_Corporation,https://www.aboutschwab.com,Not Found,Not Found
CHTR,Charter Communications,https://en.wikipedia.org/wiki/Charter_Communications,https://www.corporate.charter.com/,Not Found,Not Found
CVX,Chevron Corporation,https://en.wikipedia.org/wiki/Chevron_Corporation,https://www.chevron.com/,https://www.chevron.com/careers,https://www.chevron.com/search-jobs
CMG,Chipotle Mexican Grill,https://en.wikipedia.org/wiki/Chipotle_Mexican_Grill,http://www.chipotle.com,http://www.chipotle.com/careers,https://jobs-es.chipotle.com/
CB,Chubb Limited,https://en.wikipedia.org/wiki/Chubb_Limited,https://www.chubb.com,https://www.chubb.com/careers,Not Found
CHD,Church & Dwight,https://en.wikipedia.org/wiki/Church_%26_Dwight,http://www.churchdwight.com,http://www.churchdwight.com/careers,https://churchdwight.wd1.myworkdayjobs.com/chdcareers
CI,Cigna,https://en.wikipedia.org/wiki/Cigna,http://www.cigna.com,http://www.cigna.com/careers,https://jobs.thecignagroup.com/us/en/recruitment-fraud
CINF,Cincinnati Financial,https://en.wikipedia.org/wiki/Cincinnati_Financial,http://www.cinfin.com,http://www.cinfin.com/careers,https://cinfin.taleo.net/careersection/ex/jobsearch.ftl?lang=en
CTAS,Cintas,https://en.wikipedia.org/wiki/Cintas,https://www.cintas.com,https://www.cintas.com/careers,https://careers.cintas.com/search/?utm_source=CorpSite&utm_medium=Careers&utm_campaign=SearchJobsTop
CSCO,Cisco,https://en.wikipedia.org/wiki/Cisco,https://www.cisco.com/,https://www.cisco.com/careers,Not Found
C,Citigroup,https://en.wikipedia.org/wiki/Citigroup,https://www.citigroup.com,https://www.citigroup.com/careers,https://jobs.citi.com/dei
CFG,Citizens Financial Group,https://en.wikipedia.org/wiki/Citizens_Financial_Group,https://www.citizensbank.com/,Not Found,Not Found
CLX,Clorox,https://en.wikipedia.org/wiki/Clorox,https://www.thecloroxcompany.com,https://www.thecloroxcompany.com/careers,https://www.thecloroxcompany.com/job-search/
CME,CME Group,https://en.wikipedia.org/wiki/CME_Group,https://www.cmegroup.com/,https://www.cmegroup.com/careers,https://cmegroup.wd1.myworkdayjobs.com/en-US/cme_careers
CMS,CMS Energy,https://en.wikipedia.org/wiki/CMS_Energy,http://www.cmsenergy.com,Not Found,Not Found
KO,Coca-Cola Company (The),https://en.wikipedia.org/wiki/The_Coca-Cola_Company,https://www.coca-colacompany.com/,https://www.coca-colacompany.com/careers,https://www.coca-colacompany.com/careers/job-search/systemjobs
CTSH,Cognizant,https://en.wikipedia.org/wiki/Cognizant,https://www.cognizant.com,Not Found,Not Found
COIN,Coinbase,https://en.wikipedia.org/wiki/Coinbase,https://www.coinbase.com,Not Found,Not Found
CL,Colgate-Palmolive,https://en.wikipedia.org/wiki/Colgate-Palmolive,https://www.colgatepalmolive.com,Not Found,Not Found
CMCSA,Comcast,https://en.wikipedia.org/wiki/Comcast,https://www.corporate.comcast.com,Not Found,Not Found
CAG,Conagra Brands,https://en.wikipedia.org/wiki/Conagra_Brands,https://www.conagrabrands.com/,Not Found,Not Found
COP,ConocoPhillips,https://en.wikipedia.org/wiki/ConocoPhillips,https://www.conocophillips.com/,https://www.conocophillips.com/careers,https://careers.conocophillips.com/contract-jobs/
ED,Consolidated Edison,https://en.wikipedia.org/wiki/Consolidated_Edison,http://www.coned.com,http://www.coned.com/careers,http://ejcu.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1033/?utm_medium=jobshare
STZ,Constellation Brands,https://en.wikipedia.org/wiki/Constellation_Brands,http://www.cbrands.com,http://www.cbrands.com/careers,Not Found
CEG,Constellation Energy,https://en.wikipedia.org/wiki/Constellation_Energy,http://www.constellationenergy.com,http://www.constellationenergy.com/careers,https://careers-constellationenergy.icims.com/jobs/login?loginOnly=1
COO,Cooper Companies (The),https://en.wikipedia.org/wiki/The_Cooper_Companies,http://www.coopercos.com,http://www.coopercos.com/careers,Not Found
CPRT,Copart,https://en.wikipedia.org/wiki/Copart,https://www.copart.com/,Not Found,Not Found
GLW,Corning Inc.,https://en.wikipedia.org/wiki/Corning_Inc.,http://www.corning.com,Not Found,Not Found
CPAY,Corpay,https://en.wikipedia.org/wiki/Corpay,http://www.corpay.com,http://www.corpay.com/careers,https://corpay.wd103.myworkdayjobs.com/Ext_001?locationCountry=131d5ac7e3ee4d7b962bdc96e498e412&locationCountry=9696868b09c64d52a62ee13b052383cc&locationCountry=8cd04a563fd94da7b06857a79faaf815&locationCountry=04a05835925f45b3a59406a2a6b72c8a&locationCountry=dcc5b7608d8644b3a93716604e78e995&locationCountry=54c5b6971ffb4bf0b116fe7651ec789a&locationCountry=49ab063f422741e2aef271de00efeac8&locationCountry=fc078443155c4ad294201ecf5a61a499&locationCountry=bd34c524a6a04ae6915f5d96fa086199&locationCountry=29247e57dbaf46fb855b224e03170bc7 
CTVA,Corteva,https://en.wikipedia.org/wiki/Corteva,http://www.corteva.com,http://www.corteva.com/careers,Not Found
CSGP,CoStar Group,https://en.wikipedia.org/wiki/CoStar_Group,http://www.costargroup.com,Not Found,Not Found
COST,Costco,https://en.wikipedia.org/wiki/Costco,https://www.costco.com/,https://www.costco.com/careers,https://mobilecontent.costco.com/live/resource/img/homepage/Costco-CA-Job-Candidate-Privacy-Notice-2023.pdf
CTRA,Coterra,https://en.wikipedia.org/wiki/Coterra,https://www.coterra.com/,https://www.coterra.com/careers,Not Found
CRWD,CrowdStrike,https://en.wikipedia.org/wiki/CrowdStrike,https://www.crowdstrike.com/,https://www.crowdstrike.com/careers,https://crowdstrike.wd5.myworkdayjobs.com/crowdstrikecareers
CCI,Crown Castle,https://en.wikipedia.org/wiki/Crown_Castle,http://www.crowncastle.com,http://www.crowncastle.com/careers,https://recruiting2.ultipro.com/CRO1010CCUSA/JobBoard/74c30440-80fa-4099-8981-2e10b7193d27/?q=&o=postedDateDesc
CSX,CSX Corporation,https://en.wikipedia.org/wiki/CSX_Corporation,http://www.csx.com,Not Found,Not Found
CMI,Cummins,https://en.wikipedia.org/wiki/Cummins,http://www.cummins.com,Not Found,Not Found
CVS,CVS Health,https://en.wikipedia.org/wiki/CVS_Health,http://www.cvshealth.com/,http://www.cvshealth.com/careers,https://jobs.cvshealth.com/us/en/home
DHR,Danaher Corporation,https://en.wikipedia.org/wiki/Danaher_Corporation,http://www.danaher.com,Not Found,Not Found
DRI,Darden Restaurants,https://en.wikipedia.org/wiki/Darden_Restaurants,http://www.darden.com,http://www.darden.com/careers,Not Found
DVA,DaVita,https://en.wikipedia.org/wiki/DaVita,https://www.davita.com,https://www.davita.com/careers,Not Found
DAY,Dayforce,https://en.wikipedia.org/wiki/Dayforce,http://www.dayforce.com,Not Found,Not Found
DECK,Deckers Brands,https://en.wikipedia.org/wiki/Deckers_Brands,https://www.deckers.com,Not Found,Not Found
DE,Deere & Company,https://en.wikipedia.org/wiki/John_Deere,http://www.deere.com,http://www.deere.com/careers,Not Found
DELL,Dell Technologies,https://en.wikipedia.org/wiki/Dell_Technologies,http://www.dell.com,Not Found,Not Found
DAL,Delta Air Lines,https://en.wikipedia.org/wiki/Delta_Air_Lines,http://www.delta.com,http://www.delta.com/careers,Not Found
DVN,Devon Energy,https://en.wikipedia.org/wiki/Devon_Energy,http://www.devonenergy.com,http://www.devonenergy.com/careers,https://wd5.myworkdaysite.com/recruiting/devonenergy/Careers/job/Oklahoma-City-OK/Devon-Geoscience-Day-Application_R25162
DXCM,Dexcom,https://en.wikipedia.org/wiki/Dexcom,http://www.dexcom.com,http://www.dexcom.com/careers,Not Found
FANG,Diamondback Energy,https://en.wikipedia.org/wiki/Diamondback_Energy,https://www.diamondbackenergy.com,Not Found,Not Found
DLR,Digital Realty,https://en.wikipedia.org/wiki/Digital_Realty,http://www.digitalrealty.com,http://www.digitalrealty.com/careers,Not Found
DG,Dollar General,https://en.wikipedia.org/wiki/Dollar_General,http://www.dollargeneral.com,http://www.dollargeneral.com/careers,http://www.dollargeneral.com/jobs
DLTR,Dollar Tree,https://en.wikipedia.org/wiki/Dollar_Tree,http://www.dollartree.com,http://www.dollartree.com/careers,Not Found
D,Dominion Energy,https://en.wikipedia.org/wiki/Dominion_Energy,http://www.dominionenergy.com,http://www.dominionenergy.com/jobs,Not Found
DPZ,Domino's,https://en.wikipedia.org/wiki/Domino%27s,https://www.dominos.com,https://www.dominos.com/careers,Not Found
DASH,DoorDash,https://en.wikipedia.org/wiki/DoorDash,https://www.doordash.com,Not Found,Not Found
DOV,Dover Corporation,https://en.wikipedia.org/wiki/Dover_Corporation,http://www.dovercorporation.com,http://www.dovercorporation.com/careers,Not Found
DOW,Dow Inc.,https://en.wikipedia.org/wiki/Dow_Chemical_Company,https://www.dow.com,Not Found,Not Found
DHI,D. R. Horton,https://en.wikipedia.org/wiki/D._R._Horton,http://www.drhorton.com,http://www.drhorton.com/careers,https://drhorton.taleo.net/careersection/2/jobsearch.ftl?lang=en
DTE,DTE Energy,https://en.wikipedia.org/wiki/DTE_Energy,http://www.dteenergy.com,http://www.dteenergy.com/careers,https://careers.dteenergy.com/go/View-All-Jobs/4476200/
DUK,Duke Energy,https://en.wikipedia.org/wiki/Duke_Energy,https://www.duke-energy.com,https://www.duke-energy.com/careers,https://dukeenergy.wd1.myworkdayjobs.com/search
DD,DuPont,https://en.wikipedia.org/wiki/DuPont,http://www.dupont.com,http://www.dupont.com/careers.html,Not Found
EMN,Eastman Chemical Company,https://en.wikipedia.org/wiki/Eastman_Chemical_Company,https://www.eastman.com,https://www.eastman.com/company/careers,https://jobs.eastman.com/search/?q=&locationsearch=
ETN,Eaton Corporation,https://en.wikipedia.org/wiki/Eaton_Corporation,https://www.eaton.com/,Not Found,Not Found
EBAY,eBay Inc.,https://en.wikipedia.org/wiki/EBay,http://www.ebay.com,Not Found,Not Found
ECL,Ecolab,https://en.wikipedia.org/wiki/Ecolab,http://www.ecolab.com,Not Found,Not Found
EIX,Edison International,https://en.wikipedia.org/wiki/Edison_International,http://www.edison.com,http://www.edison.com/careers,http://www.edison.com/job-search-results/?brand=Southern%20California%20Edison
EW,Edwards Lifesciences,https://en.wikipedia.org/wiki/Edwards_Lifesciences,http://www.edwards.com,http://www.edwards.com/careers,http://www.edwards.com/careers/jobsearch
EA,Electronic Arts,https://en.wikipedia.org/wiki/Electronic_Arts,https://www.ea.com/,https://www.ea.com/careers,https://jobs.ea.com
ELV,Elevance Health,https://en.wikipedia.org/wiki/Elevance_Health,http://www.elevancehealth.com,http://www.elevancehealth.com/careers,http://www.elevancehealth.com/jobs
